Job Title,Company,Location,Description,Job Type,Salary,Job Link
Graphic Designer Specialist,Elsaba AutoService -,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Graphic Design · Adobe Photoshop · AutoCAD · Microsoft Office · Adobe Illustrator · Design · Automotive,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/F5WfdCtZyg9I-Graphic-Designer-Specialist-Elsaba-AutoService-Cairo-Egypt
Graphic Designer,Nobatia -,"Cairo, Egypt",Full TimeRemoteExperienced · 2 - 6 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Adobe Photoshop · Arts · Design · dreamweaver · Fine Arts · Graphic · Graphic Design,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/py7GFHxJ9ydt-Graphic-Designer-Nobatia-Cairo-Egypt
Graphic Designer,Essence Adverts -,"Maadi, Cairo, Egypt",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Adobe illustrator · Arts · Design · Adobe Photoshop,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/aUpeKXIreyAx-Graphic-Designer-Essence-Adverts-Cairo-Egypt
Graphic Designer,Shabana Group  -,"Nasr City, Cairo, Egypt",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Adobe Photoshop · Arts · Design · dreamweaver · Fine Arts · Graphic · Graphic Design · illustrator · photoshop,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/VcSZjzFWek6P-Graphic-Designer-Shabana-Group-Cairo-Egypt
Graphic Designer,Guneskidswear -,"Hebron, Palestine",Full TimeRemoteEntry Level · 1 - 1 Yrs of Exp · Creative/Design/Art · Graphic Design · Arts · Design · Graphic · Adobe Photoshop · Adobe illustrator · Fine Arts · dreamweaver · photoshop,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kspUWXB0PTSI-Graphic-Designer-Guneskidswear-Hebron-Palestine
Senior Graphic Designer,Samena Group -,"Heliopolis, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 10 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Fashion · Adobe Photoshop · Adobe illustrator · Design · Creative · Fine Arts · Graphic Design · illustrator,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/RQ6T6jZsDYZi-Senior-Graphic-Designer-Samena-Group-Cairo-Egypt
Graphic Designer,Confidential -,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Creative/Design/Art · Arts · Graphic Design · Adobe illustrator · Adobe Photoshop · Design · Fine Arts · illustrator · photoshop · Software,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/SQWZRVfeHMqu-Graphic-Designer-Cairo-Egypt
Graphic Designer - Lebanese,Exco Egypt -,"Riyadh, Saudi Arabia",Full TimeOn-siteExperienced · 3+ Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication skills · illustrator · indesign · photoshop · Adobe Creative Suite · Adobe illustrator · Adobe Photoshop,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/OPn2rJSnQD7e-Graphic-Designer---Lebanese-Exco-Egypt-Riyadh-Saudi-Arabia
Graphic Designer,Confidential -,"Mubarak Al-Kabeer, Kuwait",Full TimeRemoteExperienced · 2+ Yrs of Exp · Creative/Design/Art · Adobe illustrator · Adobe Photoshop · Art · Arts · Design · Fine Arts · Graphic · Graphic Design · illustrator,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/i5ZQv4yJEaKv-Graphic-Designer-Mubarak-Al-Kabeer-Kuwait
Senior Graphic Designer,Lasirena Group -,"Maadi, Cairo, Egypt",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Adobe illustrator · Applied Arts · Adobe Photoshop · Creative · Design · Graphic Design · illustrator,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/B8aLviTRTpZ5-Senior-Graphic-Designer-Lasirena-Group-Cairo-Egypt
Multimedia Designer,Egyptian Packaging and Plastic Systems Corp -,"Manial, Cairo, Egypt",Full TimePart TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · Multimedia · Multimedia Design · Adobe Photoshop · Adobe Photoshop CC · Adobe illustrator · Adobe Premiere Pro · Adobe Indesign · Graphic Web Design · Graphic Design,Full Time,Not specified,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vHVijxwOKSSl-Multimedia-Designer-Egyptian-Packaging-and-Plastic-Systems-Corp-Cairo-Egypt
